iter	Logloss
0	0.6693462372
1	0.6483633423
2	0.6326768112
3	0.6191011047
4	0.6072973633
5	0.5970433044
6	0.5931927109
7	0.5878139496
8	0.5833998871
9	0.5806637955
10	0.5776468658
11	0.5748571777
12	0.5724060059
13	0.568437233
14	0.5656205368
15	0.5642598724
16	0.5622596741
17	0.5606188583
18	0.5582572937
19	0.5544432068
20	0.5525499725
21	0.5511743927
22	0.5486868668
23	0.5462071991
24	0.5440475845
25	0.5427054596
26	0.5416921234
27	0.5399292374
28	0.536926651
29	0.5347070312
30	0.5322710419
31	0.5311490631
32	0.5295956802
33	0.5283058548
34	0.5268217468
35	0.5249361801
36	0.5236358643
37	0.5216109467
38	0.5183125305
39	0.5176568604
40	0.5153540039
41	0.5135782242
42	0.5108177185
43	0.5102946091
44	0.5084993744
45	0.5056594849
46	0.5038871002
47	0.5000629044
48	0.4972284698
49	0.4947496796
50	0.4925812912
51	0.4893922424
52	0.4886393738
53	0.4869528198
54	0.4862834167
55	0.4857160187
56	0.4840458679
57	0.4823470306
58	0.4811527252
59	0.4793806076
60	0.4793322754
61	0.4788528442
62	0.4771657562
63	0.4762796021
64	0.4739819336
65	0.4717058563
66	0.4709928131
67	0.4697827911
68	0.4697319794
69	0.4686315155
70	0.466817627
71	0.4656170654
72	0.4637733841
73	0.4619480133
74	0.4600684738
75	0.4584671402
76	0.4573161697
77	0.4558931732
78	0.4540535736
79	0.4534736633
80	0.4528281403
81	0.4509756851
82	0.4496010208
83	0.4489071655
84	0.4479600525
85	0.4472569275
86	0.4456482697
87	0.445238266
88	0.4439071655
89	0.4427795792
90	0.441669693
91	0.4400660706
92	0.4394669724
93	0.4388641739
94	0.4372381592
95	0.4362696457
96	0.4350065231
97	0.4332107544
98	0.4322548294
99	0.4320516205
